NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
#,G2250,,9.06,8.61,9.90
,G2251,,14.18,13.47,15.49
#,G2251,,12.89,12.25,14.09
,G2252,,26.50,25.18,28.96
#,G2252,,24.89,23.65,27.20
,G3002,,83.51,79.33,91.23
#,G3002,,74.80,71.06,81.72
,G3003,,30.62,29.09,33.45
#,G3003,,26.10,24.80,28.52
,G6001,,175.39,166.62,191.61
,G6001,TC,144.23,137.02,157.57
,G6001,26,31.15,29.59,34.03
,G6002,,73.90,70.21,80.74
,G6002,TC,53.51,50.83,58.45
,G6002,26,20.39,19.37,22.28
,G6003,,149.40,141.93,163.22
,G6004,,122.60,116.47,133.94
,G6005,,122.93,116.78,134.30
,G6006,,121.96,115.86,133.24
,G6007,,223.01,211.86,243.64
,G6008,,169.33,160.86,184.99
,G6009,,169.01,160.56,184.64
,G6010,,167.72,159.33,183.23
,G6011,,222.61,211.48,243.20
,G6012,,222.93,211.78,243.55
,G6013,,223.90,212.71,244.62
,G6014,,222.28,211.17,242.85
,G6015,,346.25,328.94,378.28
,G6016,,343.44,326.27,375.21
,G6017,,71.37,67.80,77.97
,G9157,,95.29,90.53,104.11
,G9187,,46.99,44.64,51.34
,G9481,,19.14,18.18,20.91
,G9482,,35.04,33.29,38.28
,G9483,,55.64,52.86,60.79
,G9484,,93.31,88.64,101.94
,G9485,,122.67,116.54,134.02
,G9486,,19.14,18.18,20.91
,G9487,,37.48,35.61,40.95
,G9488,,57.14,54.28,62.42
,G9489,,81.67,77.59,89.23
,G9490,,46.99,44.64,51.34
,G9685,,187.64,178.26,205.00
,G9868,,26.27,24.96,28.70
,G9869,,35.14,33.38,38.39
,G9870,,44.01,41.81,48.08
,G9978,,49.49,47.02,54.07
#,G9978,,28.50,27.08,31.14
,G9979,,72.50,68.88,79.21
#,G9979,,47.96,45.56,52.39
,G9980,,106.97,101.62,116.86
#,G9980,,77.59,73.71,84.77
,G9981,,163.69,155.51,178.84
#,G9981,,129.79,123.30,141.80
,G9982,,212.75,202.11,232.43
#,G9982,,173.36,164.69,189.39
,G9983,,49.49,47.02,54.07
#,G9983,,28.50,27.08,31.14
,G9984,,80.42,76.40,87.86
#,G9984,,55.56,52.78,60.70
,G9985,,114.93,109.18,125.56
#,G9985,,83.94,79.74,91.70
,G9986,,159.16,151.20,173.88
#,G9986,,122.68,116.55,134.03
,G9987,,46.99,44.64,51.34
,P3001,,23.63,22.45,25.82
,Q0035,,17.69,16.81,19.33
,Q0035,TC,9.60,9.12,10.49
,Q0035,26,8.08,7.68,8.83
,Q0091,,43.63,41.45,47.67
#,Q0091,,18.12,17.21,19.79
,Q0092,,25.42,24.15,27.77
,R0070,,176.20,167.39,192.50
,R0075,,176.20,167.39,192.50
,0042T,,313.35,297.68,342.33
,0054T,,170.31,161.79,186.06
,0055T,,283.12,268.96,309.30
,0071T,,1959.72,1861.73,2140.99
#,0071T,,407.48,387.11,445.18
,0075T,,1186.62,1127.29,1296.38
,0075T,TC,795.04,755.29,868.58
,0075T,26,391.59,372.01,427.81
,0076T,,593.32,563.65,648.20
,0076T,TC,403.46,383.29,440.78
,0076T,26,189.86,180.37,207.43
,0095T,,2804.22,2664.01,3063.61
,0101T,,349.33,331.86,381.64
#,0101T,,245.33,233.06,268.02
,0106T,,99.97,94.97,109.22
,0110T,,99.97,94.97,109.22
,0174T,,78.34,74.42,85.58
,0184T,,1158.25,1100.34,1265.39
