NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON_PAR_AMOUNT,LIMITING_CHARGE
,0238T,,2075.11,1971.35,2267.05
#,0238T,,454.16,431.45,496.17
,0253T,,683.15,648.99,746.34
,0266T,,662.08,628.98,723.33
,0268T,,259.25,246.29,283.23
#,0268T,,141.88,134.79,155.01
,0272T,,76.99,73.14,84.11
,0273T,,76.99,73.14,84.11
,0275T,,1144.91,1087.66,1250.81
,0278T,,22.23,21.12,24.29
,0330T,,23.54,22.36,25.71
,0335T,,559.18,531.22,610.90
,0345T,,2120.47,2014.45,2316.62
,0358T,,145.35,138.08,158.79
,0362T,,128.45,122.03,140.33
#,0362T,,117.30,111.44,128.16
,0373T,,5.45,5.18,5.96
,0378T,,35.86,34.07,39.18
,0394T,,238.42,226.50,260.48
,0395T,,633.47,601.80,692.07
,0398T,,1727.12,1640.76,1886.87
,0398T,26,1727.12,1640.76,1886.87
,0402T,,386.29,366.98,422.03
#,0402T,,291.05,276.50,317.98
,0403T,,71.83,68.24,78.48
#,0403T,,65.14,61.88,71.16
,0408T,,375.06,356.31,409.76
,0415T,,363.02,344.87,396.60
,0418T,,52.24,49.63,57.07
,0421T,,904.83,859.59,988.53
,0424T,,611.16,580.60,667.69
,0426T,,433.31,411.64,473.39
,0427T,,375.06,356.31,409.76
,0431T,,395.18,375.42,431.73
,0434T,,64.80,61.56,70.79
,0435T,,64.80,61.56,70.79
,0437T,,319.56,303.58,349.12
,0440T,,164.76,156.52,180.00
#,0440T,,123.90,117.71,135.37
,0441T,,164.76,156.52,180.00
#,0441T,,123.90,117.71,135.37
,0442T,,53.71,51.02,58.67
,0446T,,3168.89,3010.45,3462.02
#,0446T,,57.72,54.83,63.05
,0447T,,101.03,95.98,110.38
#,0447T,,67.75,64.36,74.01
,0448T,,3154.22,2996.51,3445.99
#,0448T,,96.50,91.68,105.43
,0449T,,683.15,648.99,746.34
,0450T,,341.57,324.49,373.16
,0464T,,70.42,66.90,76.94
,0465T,,793.33,753.66,866.71
#,0465T,,680.42,646.40,743.36
,0474T,,683.15,648.99,746.34
,0479T,,224.61,213.38,245.39
,0480T,,224.61,213.38,245.39
,0481T,,278.72,264.78,304.50
#,0481T,,119.75,113.76,130.82
,0483T,,1340.78,1273.74,1464.80
,0484T,,1742.49,1655.37,1903.68
,0499T,,348.90,331.46,381.18
#,0499T,,170.99,162.44,186.81
,0501T,,971.72,923.13,1061.60
,0503T,,893.75,849.06,976.42
,0504T,,41.23,39.17,45.05
,0505T,,10643.27,10111.11,11627.78
#,0505T,,619.68,588.70,677.01
,0506T,,137.61,130.73,150.34
,0506T,TC,98.18,93.27,107.26
,0506T,26,39.43,37.46,43.08
,0507T,,13.17,12.51,14.39
,0507T,TC,4.34,4.12,4.74
,0507T,26,8.83,8.39,9.65
,0509T,,76.20,72.39,83.25
,0509T,TC,55.02,52.27,60.11
,0509T,26,21.18,20.12,23.14
,0510T,,398.55,378.62,435.41
#,0510T,,162.69,154.56,177.74
,0511T,,540.64,513.61,590.65
,0512T,,349.33,331.86,381.64
#,0512T,,245.33,233.06,268.02
,0513T,,98.38,93.46,107.48
#,0513T,,67.25,63.89,73.47
,0515T,,569.24,540.78,621.90
,0516T,,533.13,506.47,582.44
,0517T,,426.91,405.56,466.39
,0518T,,247.22,234.86,270.09
,0523T,,155.69,147.91,170.10
,0543T,,1678.39,1594.47,1833.64
,0545T,,2120.47,2014.45,2316.62
,0546T,,246.83,234.49,269.66
,0552T,,6.78,6.44,7.41
,0559T,,24.69,23.46,26.98
,0561T,,135.88,129.09,148.45
,0563T,,69.87,66.38,76.34
#,0563T,,53.82,51.13,58.80
,0565T,,544.87,517.63,595.27
,0566T,,68.93,65.48,75.30
#,0566T,,52.22,49.61,57.05
,0569T,,2120.47,2014.45,2316.62
,0570T,,501.66,476.58,548.07
,0575T,,76.99,73.14,84.11
,0576T,,70.40,66.88,76.91
,0577T,,304.14,288.93,332.27
,0581T,,2906.90,2761.56,3175.79
#,0581T,,251.14,238.58,274.37
,0591T,,105.67,100.39,115.45
#,0591T,,96.01,91.21,104.89
,0592T,,105.67,100.39,115.45
#,0592T,,96.01,91.21,104.89
,0598T,,60.25,57.24,65.83
,0599T,,35.48,33.71,38.77
,0600T,,582.44,553.32,636.32
#,0600T,,204.32,194.10,223.22
,0601T,,1708.40,1622.98,1866.43
,0613T,,1149.51,1092.03,1255.83
,0615T,,114.80,109.06,125.42
,0617T,,588.96,559.51,643.44
,0618T,,827.25,785.89,903.77
,0640T,,88.00,83.60,96.14
,0642T,,13.76,13.07,15.03
,0644T,,856.17,813.36,935.36
,0646T,,1340.29,1273.28,1464.27
,0650T,,64.53,61.30,70.50
,0650T,TC,38.17,36.26,41.70
,0650T,26,26.36,25.04,28.80
,0671T,,1051.73,999.14,1149.01
,0693T,,97.60,92.72,106.63
,0715T,,179.26,170.30,195.85
,10004,,53.84,51.15,58.82
#,10004,,45.10,42.85,49.28
,10005,,141.12,134.06,154.17
#,10005,,77.58,73.70,84.76
,10006,,62.74,59.60,68.54
#,10006,,52.32,49.70,57.16
,10007,,304.04,288.84,332.17
#,10007,,92.93,88.28,101.52
,10008,,149.11,141.65,162.90
#,10008,,56.33,53.51,61.54
,10009,,445.03,422.78,486.20
#,10009,,113.91,108.21,124.44
,10010,,245.50,233.23,268.21
#,10010,,76.08,72.28,83.12
,10021,,106.02,100.72,115.83
#,10021,,58.29,55.38,63.69
,10030,,662.92,629.77,724.24
#,10030,,141.20,134.14,154.26
,10035,,378.74,359.80,413.77
#,10035,,88.64,84.21,96.84
,10036,,313.48,297.81,342.48
#,10036,,44.88,42.64,49.04
,10040,,119.86,113.87,130.95
#,10040,,54.31,51.59,59.33
,10060,,129.48,123.01,141.46
#,10060,,108.64,103.21,118.69
,10061,,221.69,210.61,242.20
#,10061,,191.44,181.87,209.15
,10080,,259.51,246.53,283.51
#,10080,,109.58,104.10,119.72
,10081,,358.71,340.77,391.89
#,10081,,182.23,173.12,199.09
,10120,,156.85,149.01,171.36
#,10120,,109.79,104.30,119.95
,10121,,276.05,262.25,301.59
#,10121,,193.35,183.68,211.23
,10140,,175.46,166.69,191.69
#,10140,,123.02,116.87,134.40
,10160,,135.35,128.58,147.87
#,10160,,101.06,96.01,110.41
,10180,,278.24,264.33,303.98
#,10180,,191.85,182.26,209.60
,11000,,59.24,56.28,64.72
#,11000,,27.97,26.57,30.56
,11001,,28.57,27.14,31.21
#,11001,,15.79,15.00,17.25
,11004,,614.55,583.82,671.39
,11005,,849.38,806.91,927.95
,11006,,762.69,724.56,833.24
,11008,,300.54,285.51,328.34
,11010,,475.32,451.55,519.28
#,11010,,294.80,280.06,322.07
,11011,,525.05,498.80,573.62
#,11011,,318.65,302.72,348.13
,11012,,689.16,654.70,752.91
#,11012,,447.12,424.76,488.47
,11042,,132.79,126.15,145.07
#,11042,,62.53,59.40,68.31
,11043,,242.88,230.74,265.35
#,11043,,162.88,154.74,177.95
