NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON_PAR_AMOUNT,LIMITING_CHARGE
#,52648,,723.72,687.53,790.66
,52649,,862.25,819.14,942.01
,52700,,463.08,439.93,505.92
,53000,,154.41,146.69,168.69
,53010,,309.54,294.06,338.17
,53020,,101.00,95.95,110.34
,53025,,71.43,67.86,78.04
,53040,,410.65,390.12,448.64
,53060,,201.78,191.69,220.44
#,53060,,177.91,169.01,194.36
,53080,,439.57,417.59,480.23
,53085,,677.44,643.57,740.11
,53200,,166.85,158.51,182.29
#,53200,,148.69,141.26,162.45
,53210,,813.03,772.38,888.24
,53215,,969.71,921.22,1059.40
,53220,,472.76,449.12,516.49
,53230,,640.85,608.81,700.13
,53235,,662.81,629.67,724.12
,53240,,444.45,422.23,485.56
,53250,,414.68,393.95,453.04
,53260,,217.99,207.09,238.15
#,53260,,191.43,181.86,209.14
,53265,,240.90,228.86,263.19
#,53265,,199.89,189.90,218.39
,53270,,220.80,209.76,241.22
#,53270,,193.23,183.57,211.11
,53275,,276.66,262.83,302.25
,53400,,837.13,795.27,914.56
,53405,,912.82,867.18,997.26
,53410,,1022.53,971.40,1117.11
,53415,,1179.42,1120.45,1288.52
,53420,,878.25,834.34,959.49
,53425,,978.06,929.16,1068.53
,53430,,1026.88,975.54,1121.87
,53431,,1202.66,1142.53,1313.91
,53440,,787.10,747.75,859.91
,53442,,820.65,779.62,896.56
,53444,,828.50,787.08,905.14
,53445,,790.79,751.25,863.94
,53446,,671.46,637.89,733.57
,53447,,842.43,800.31,920.36
,53448,,1332.07,1265.47,1455.29
,53449,,642.74,610.60,702.19
,53450,,427.64,406.26,467.20
,53460,,478.17,454.26,522.40
,53500,,793.31,753.64,866.69
,53502,,508.15,482.74,555.15
,53505,,507.82,482.43,554.79
,53510,,661.46,628.39,722.65
,53515,,831.32,789.75,908.21
,53520,,584.54,555.31,638.61
,53600,,93.32,88.65,101.95
#,53600,,67.77,64.38,74.04
,53601,,88.41,83.99,96.59
#,53601,,55.80,53.01,60.96
,53605,,67.79,64.40,74.06
,53620,,175.91,167.11,192.18
#,53620,,90.53,86.00,98.90
,53621,,167.98,159.58,183.52
#,53621,,75.20,71.44,82.16
,53660,,78.46,74.54,85.72
#,53660,,43.84,41.65,47.90
,53661,,77.12,73.26,84.25
#,53661,,42.83,40.69,46.79
,53665,,40.15,38.14,43.86
,53850,,1448.11,1375.70,1582.06
#,53850,,370.38,351.86,404.64
,53852,,1416.24,1345.43,1547.24
#,53852,,397.68,377.80,434.47
,53854,,1707.80,1622.41,1865.77
#,53854,,397.11,377.25,433.84
,53855,,667.72,634.33,729.48
#,53855,,85.49,81.22,93.40
,53860,,2431.90,2310.31,2656.86
#,53860,,232.40,220.78,253.90
,54000,,168.17,159.76,183.72
#,54000,,115.06,109.31,125.71
,54001,,205.82,195.53,224.86
#,54001,,146.65,139.32,160.22
,54015,,318.93,302.98,348.43
,54050,,149.48,142.01,163.31
#,54050,,111.49,105.92,121.81
,54055,,142.74,135.60,155.94
#,54055,,100.39,95.37,109.68
,54056,,148.45,141.03,162.18
#,54056,,115.17,109.41,125.82
,54057,,148.13,140.72,161.83
#,54057,,102.41,97.29,111.88
,54060,,201.47,191.40,220.11
#,54060,,136.59,129.76,149.22
,54065,,229.85,218.36,251.11
#,54065,,178.09,169.19,194.57
,54100,,208.82,198.38,228.14
#,54100,,125.46,119.19,137.07
,54105,,286.93,272.58,313.47
#,54105,,222.05,210.95,242.59
,54110,,652.48,619.86,712.84
,54111,,835.19,793.43,912.44
,54112,,979.15,930.19,1069.72
,54115,,476.89,453.05,521.01
#,54115,,445.30,423.04,486.50
,54120,,661.03,627.98,722.18
,54125,,865.11,821.85,945.13
,54130,,1246.15,1183.84,1361.42
,54135,,1575.82,1497.03,1721.58
,54150,,155.51,147.73,169.89
#,54150,,102.06,96.96,111.50
,54160,,228.44,217.02,249.57
#,54160,,152.13,144.52,166.20
,54161,,206.41,196.09,225.50
,54162,,267.59,254.21,292.34
#,54162,,209.77,199.28,229.17
,54163,,228.26,216.85,249.38
,54164,,201.87,191.78,220.55
,54200,,119.83,113.84,130.92
#,54200,,89.91,85.41,98.22
,54205,,555.90,528.11,607.33
,54220,,230.35,218.83,251.65
#,54220,,141.60,134.52,154.70
,54230,,110.50,104.98,120.73
#,54230,,83.27,79.11,90.98
,54231,,149.50,142.03,163.33
#,54231,,120.59,114.56,131.74
,54235,,94.32,89.60,103.04
#,54235,,77.85,73.96,85.05
,54240,,111.96,106.36,122.31
,54240,TC,42.48,40.36,46.41
,54240,26,69.48,66.01,75.91
,54250,,126.55,120.22,138.25
,54250,TC,14.68,13.95,16.04
,54250,26,111.87,106.28,122.22
,54300,,674.55,640.82,736.94
,54304,,781.24,742.18,853.51
,54308,,749.43,711.96,818.75
,54312,,855.28,812.52,934.40
,54316,,1038.57,986.64,1134.64
,54318,,744.89,707.65,813.80
,54322,,817.01,776.16,892.58
,54324,,1010.94,960.39,1104.45
,54326,,984.21,935.00,1075.25
,54328,,977.89,929.00,1068.35
,54332,,1054.01,1001.31,1151.51
,54336,,1239.56,1177.58,1354.22
,54340,,595.15,565.39,650.20
,54344,,985.90,936.61,1077.10
,54348,,1054.00,1001.30,1151.50
,54352,,1475.62,1401.84,1612.12
,54360,,754.64,716.91,824.45
,54380,,834.88,793.14,912.11
,54385,,972.18,923.57,1062.11
,54390,,1296.43,1231.61,1416.35
,54400,,556.88,529.04,608.40
,54401,,693.11,658.45,757.22
,54405,,845.43,803.16,923.63
,54406,,764.98,726.73,835.74
,54408,,826.62,785.29,903.08
,54410,,901.67,856.59,985.08
,54411,,1077.47,1023.60,1177.14
,54415,,555.54,527.76,606.92
,54416,,748.24,710.83,817.45
,54417,,940.21,893.20,1027.18
,54420,,734.90,698.16,802.88
,54430,,667.77,634.38,729.54
,54435,,433.03,411.38,473.09
,54437,,708.37,672.95,773.89
,54438,,1394.15,1324.44,1523.11
,54440,,1379.27,1310.31,1506.86
,54450,,71.76,68.17,78.40
#,54450,,60.00,57.00,65.55
,54500,,78.22,74.31,85.46
,54505,,219.35,208.38,239.64
,54512,,562.65,534.52,614.70
,54520,,344.37,327.15,376.22
,54522,,614.49,583.77,671.34
,54530,,533.58,506.90,582.94
,54535,,777.96,739.06,849.92
,54550,,514.37,488.65,561.95
,54560,,719.67,683.69,786.24
,54600,,473.77,450.08,517.59
,54620,,312.95,297.30,341.90
,54640,,453.55,430.87,495.50
,54650,,744.98,707.73,813.89
,54660,,374.29,355.58,408.92
,54670,,428.05,406.65,467.65
,54680,,823.41,782.24,899.58
,54690,,685.01,650.76,748.37
,54692,,790.14,750.63,863.22
,54700,,222.83,211.69,243.44
,54800,,129.87,123.38,141.89
,54830,,389.63,370.15,425.67
,54840,,338.07,321.17,369.35
,54860,,438.24,416.33,478.78
,54861,,594.14,564.43,649.09
,54865,,376.77,357.93,411.62
,54900,,837.03,795.18,914.46
,54901,,1106.05,1050.75,1208.36
,55000,,125.21,118.95,136.79
#,55000,,88.23,83.82,96.39
,55040,,354.04,336.34,386.79
,55041,,535.60,508.82,585.14
,55060,,398.09,378.19,434.92
,55100,,240.32,228.30,262.55
#,55100,,176.11,167.30,192.40
,55110,,407.12,386.76,444.77
,55120,,370.92,352.37,405.23
,55150,,518.01,492.11,565.93
,55175,,383.10,363.95,418.54
,55180,,722.63,686.50,789.48
,55200,,398.77,378.83,435.65
#,55200,,290.53,276.00,317.40
,55250,,346.60,329.27,378.66
#,55250,,238.69,226.76,260.77
,55300,,194.14,184.43,212.09
,55400,,522.62,496.49,570.96
,55500,,415.23,394.47,453.64
,55520,,500.56,475.53,546.86
,55530,,369.16,350.70,403.31
,55535,,450.42,427.90,492.09
,55540,,610.08,579.58,666.52
,55550,,449.41,426.94,490.98
,55600,,441.51,419.43,482.34
,55605,,548.79,521.35,599.55
,55650,,751.69,714.11,821.23
,55680,,363.18,345.02,396.77
,55700,,249.94,237.44,273.06
#,55700,,135.65,128.87,148.20
,55705,,277.10,263.25,302.74
,55706,,392.29,372.68,428.58
,55720,,472.45,448.83,516.15
,55725,,622.95,591.80,680.57
,55801,,1144.05,1086.85,1249.88
,55810,,1363.61,1295.43,1489.74
,55812,,1677.81,1593.92,1833.01
,55815,,1837.18,1745.32,2007.12
,55821,,876.23,832.42,957.28
,55831,,900.60,855.57,983.91
,55840,,1220.44,1159.42,1333.33
,55842,,1221.57,1160.49,1334.56
,55845,,1420.86,1349.82,1552.29
,55860,,915.24,869.48,999.90
,55862,,1144.69,1087.46,1250.58
,55865,,1392.28,1322.67,1521.07
,55866,,1250.28,1187.77,1365.94
,55867,,1097.23,1042.37,1198.73
,55870,,183.74,174.55,200.73
#,55870,,146.76,139.42,160.33
,55873,,5852.90,5560.26,6394.30
#,55873,,799.06,759.11,872.98
,55874,,2934.00,2787.30,3205.40
#,55874,,170.08,161.58,185.82
,55875,,809.43,768.96,884.30
,55876,,156.78,148.94,171.28
#,55876,,105.68,100.40,115.46
,55880,,1022.54,971.41,1117.12
,55920,,477.18,453.32,521.32
,55970,,3817.29,3626.43,4170.39
,55980,,4029.77,3828.28,4402.52
,56405,,156.08,148.28,170.52
#,56405,,134.90,128.16,147.38
,56420,,195.39,185.62,213.46
#,56420,,118.75,112.81,129.73
,56440,,194.12,184.41,212.07
,56441,,193.34,183.67,211.22
#,56441,,163.76,155.57,178.91
,56442,,50.68,48.15,55.37
,56501,,202.49,192.37,221.23
#,56501,,141.65,134.57,154.76
,56515,,294.03,279.33,321.23
#,56515,,227.47,216.10,248.52
,56605,,102.26,97.15,111.72
#,56605,,63.93,60.73,69.84
,56606,,41.44,39.37,45.28
#,56606,,32.03,30.43,34.99
,56620,,624.08,592.88,681.81
,56625,,712.47,676.85,778.38
,56630,,1029.12,977.66,1124.31
,56631,,1269.97,1206.47,1387.44
,56632,,1534.70,1457.97,1676.67
,56633,,1320.07,1254.07,1442.18
,56634,,1385.33,1316.06,1513.47
,56637,,1624.37,1543.15,1774.62
,56640,,1633.79,1552.10,1784.92
,56700,,217.41,206.54,237.52
,56740,,338.84,321.90,370.19
,56800,,272.15,258.54,297.32
,56805,,1257.31,1194.44,1373.61
,56810,,291.66,277.08,318.64
,56820,,132.88,126.24,145.18
#,56820,,90.86,86.32,99.27
,56821,,178.36,169.44,194.86
#,56821,,122.22,116.11,133.53
,57000,,217.03,206.18,237.11
,57010,,491.38,466.81,536.83
,57020,,133.89,127.20,146.28
#,57020,,85.82,81.53,93.76
,57022,,194.39,184.67,212.37
,57023,,343.98,326.78,375.80
,57061,,175.84,167.05,192.11
#,57061,,122.39,116.27,133.71
,57065,,261.71,248.62,285.91
#,57065,,198.85,188.91,217.25
,57100,,109.24,103.78,119.35
#,57100,,69.91,66.41,76.37
,57105,,186.19,176.88,203.41
#,57105,,154.92,147.17,169.25
,57106,,572.17,543.56,625.09
,57107,,1561.25,1483.19,1705.67
,57109,,1852.95,1760.30,2024.35
,57110,,972.84,924.20,1062.83
,57111,,1852.95,1760.30,2024.35
,57120,,568.63,540.20,621.23
,57130,,245.40,233.13,268.10
#,57130,,185.56,176.28,202.72
,57135,,262.96,249.81,287.28
#,57135,,201.11,191.05,219.71
,57150,,60.80,57.76,66.42
#,57150,,27.86,26.47,30.44
,57155,,410.53,390.00,448.50
#,57155,,295.23,280.47,322.54
,57156,,236.39,224.57,258.26
#,57156,,157.39,149.52,171.95
,57160,,78.76,74.82,86.04
#,57160,,49.51,47.03,54.08
,57170,,83.49,79.32,91.22
#,57170,,52.22,49.61,57.05
,57180,,209.46,198.99,228.84
#,57180,,129.45,122.98,141.43
,57200,,353.23,335.57,385.91
,57210,,420.13,399.12,458.99
,57220,,368.83,350.39,402.95
,57230,,451.31,428.74,493.05
,57240,,656.99,624.14,717.76
,57250,,661.39,628.32,722.57
,57260,,836.88,795.04,914.30
,57265,,938.73,891.79,1025.56
,57267,,268.43,255.01,293.26
,57268,,541.47,514.40,591.56
,57270,,875.49,831.72,956.48
,57280,,1034.86,983.12,1130.59
,57282,,744.17,706.96,813.00
,57283,,752.29,714.68,821.88
,57284,,889.65,845.17,971.95
,57285,,741.79,704.70,810.41
,57287,,788.77,749.33,861.73
,57288,,792.37,752.75,865.66
,57289,,853.80,811.11,932.78
,57291,,590.18,560.67,644.77
,57292,,893.81,849.12,976.49
,57295,,535.83,509.04,585.40
,57296,,1034.58,982.85,1130.28
,57300,,654.57,621.84,715.12
,57305,,1063.92,1010.72,1162.33
,57307,,1145.86,1088.57,1251.86
,57308,,702.42,667.30,767.40
,57310,,516.80,490.96,564.60
,57311,,582.78,553.64,636.69
,57320,,608.56,578.13,664.85
,57330,,804.53,764.30,878.95
,57335,,1269.58,1206.10,1387.02
,57400,,138.87,131.93,151.72
,57410,,112.23,106.62,122.61
,57415,,186.56,177.23,203.81
,57420,,139.97,132.97,152.92
#,57420,,95.60,90.82,104.44
,57421,,188.38,178.96,205.80
#,57421,,130.22,123.71,142.27
,57423,,997.12,947.26,1089.35
,57425,,1042.81,990.67,1139.27
,57426,,930.65,884.12,1016.74
,57452,,134.56,127.83,147.00
#,57452,,97.25,92.39,106.25
,57454,,179.90,170.91,196.55
#,57454,,142.25,135.14,155.41
,57455,,170.70,162.17,186.50
#,57455,,116.24,110.43,126.99
,57456,,161.36,153.29,176.28
#,57456,,108.58,103.15,118.62
,57460,,331.36,314.79,362.01
#,57460,,171.01,162.46,186.83
,57461,,370.46,351.94,404.73
#,57461,,197.34,187.47,215.59
,57465,,58.90,55.96,64.35
#,57465,,46.46,44.14,50.76
,57500,,161.01,152.96,175.90
#,57500,,79.65,75.67,87.02
,57505,,162.35,154.23,177.36
#,57505,,115.28,109.52,125.95
,57510,,177.17,168.31,193.56
#,57510,,120.36,114.34,131.49
,57511,,210.36,199.84,229.82
#,57511,,156.57,148.74,171.05
,57513,,217.08,206.23,237.16
#,57513,,156.23,148.42,170.68
,57520,,374.86,356.12,409.54
#,57520,,316.36,300.54,345.62
,57522,,322.14,306.03,351.93
#,57522,,272.39,258.77,297.59
,57530,,399.48,379.51,436.44
,57531,,2059.82,1956.83,2250.35
,57540,,853.65,810.97,932.62
,57545,,899.44,854.47,982.64
,57550,,463.75,440.56,506.64
,57555,,667.21,633.85,728.93
,57556,,633.15,601.49,691.71
,57558,,167.35,158.98,182.83
#,57558,,137.10,130.25,149.79
,57700,,380.10,361.10,415.27
,57720,,357.67,339.79,390.76
,57800,,81.63,77.55,89.18
#,57800,,50.70,48.17,55.40
,58100,,107.56,102.18,117.51
#,58100,,67.89,64.50,74.18
,58110,,53.05,50.40,57.96
#,58110,,42.97,40.82,46.94
,58120,,316.40,300.58,345.67
#,58120,,250.18,237.67,273.32
,58140,,1009.60,959.12,1102.99
,58145,,610.58,580.05,667.06
,58146,,1247.17,1184.81,1362.53
,58150,,1090.99,1036.44,1191.91
,58152,,1335.80,1269.01,1459.36
,58180,,1033.47,981.80,1129.07
,58200,,1445.04,1372.79,1578.71
,58210,,1954.84,1857.10,2135.67
,58240,,3146.10,2988.80,3437.12
,58260,,904.27,859.06,987.92
,58262,,998.23,948.32,1090.57
,58263,,1071.77,1018.18,1170.91
,58267,,1154.34,1096.62,1261.11
,58270,,965.19,916.93,1054.47
,58275,,1063.47,1010.30,1161.85
,58280,,1144.25,1087.04,1250.10
,58285,,1523.94,1447.74,1664.90
,58290,,1243.23,1181.07,1358.23
,58291,,1344.06,1276.86,1468.39
,58292,,1417.03,1346.18,1548.11
,58294,,1315.52,1249.74,1437.20
,58301,,116.54,110.71,127.32
#,58301,,71.16,67.60,77.74
,58321,,87.52,83.14,95.61
#,58321,,52.90,50.26,57.80
,58322,,97.11,92.25,106.09
#,58322,,62.48,59.36,68.26
,58323,,16.11,15.30,17.60
#,58323,,13.08,12.43,14.29
,58340,,252.89,240.25,276.29
#,58340,,60.94,57.89,66.57
,58345,,311.32,295.75,340.11
,58346,,514.24,488.53,561.81
,58350,,161.41,153.34,176.34
#,58350,,101.24,96.18,110.61
,58353,,968.89,920.45,1058.52
#,58353,,248.50,236.08,271.49
,58356,,1739.84,1652.85,1900.78
#,58356,,383.09,363.94,418.53
,58400,,494.56,469.83,540.30
,58410,,880.39,836.37,961.83
,58520,,863.25,820.09,943.10
,58540,,988.42,939.00,1079.85
,58541,,783.05,743.90,855.49
,58542,,894.27,849.56,976.99
,58543,,909.74,864.25,993.89
,58544,,978.52,929.59,1069.03
,58545,,972.95,924.30,1062.95
,58546,,1203.10,1142.95,1314.39
,58548,,2017.94,1917.04,2204.60
,58550,,950.22,902.71,1038.12
,58552,,1057.67,1004.79,1155.51
,58553,,1209.64,1149.16,1321.53
,58554,,1404.81,1334.57,1534.76
,58555,,379.60,360.62,414.71
#,58555,,162.44,154.32,177.47
,58558,,1378.44,1309.52,1505.95
#,58558,,248.60,236.17,271.60
,58559,,304.77,289.53,332.96
,58560,,335.79,319.00,366.85
,58561,,385.07,365.82,420.69
,58562,,455.95,433.15,498.12
#,58562,,238.11,226.20,260.13
,58563,,2184.77,2075.53,2386.86
#,58563,,264.62,251.39,289.10
,58565,,1735.06,1648.31,1895.56
#,58565,,492.27,467.66,537.81
,58570,,869.38,825.91,949.80
,58571,,975.17,926.41,1065.37
,58572,,1117.81,1061.92,1221.21
,58573,,1307.94,1242.54,1428.92
,58575,,2071.74,1968.15,2263.37
,58600,,399.04,379.09,435.95
,58605,,362.85,344.71,396.42
,58611,,82.11,78.00,89.70
,58615,,272.49,258.87,297.70
,58660,,740.22,703.21,808.69
,58661,,704.26,669.05,769.41
,58662,,767.64,729.26,838.65
,58670,,399.72,379.73,436.69
,58671,,399.72,379.73,436.69
,58672,,789.30,749.84,862.32
,58673,,856.84,814.00,936.10
,58674,,877.92,834.02,959.12
,58700,,865.53,822.25,945.59
,58720,,815.85,775.06,891.32
,58740,,975.71,926.92,1065.96
,58750,,980.78,931.74,1071.50
,58752,,978.42,929.50,1068.93
,58760,,885.70,841.42,967.63
,58770,,931.06,884.51,1017.19
,58800,,386.58,367.25,422.34
#,58800,,338.17,321.26,369.45
,58805,,460.08,437.08,502.64
,58820,,363.42,345.25,397.04
,58822,,770.18,731.67,841.42
,58825,,764.80,726.56,835.54
,58900,,470.46,446.94,513.98
,58920,,770.91,732.36,842.21
,58925,,830.71,789.17,907.55
,58940,,600.57,570.54,656.12
,58943,,1260.26,1197.25,1376.84
,58950,,1236.63,1174.80,1351.02
,58951,,1548.69,1471.26,1691.95
,58952,,1767.76,1679.37,1931.28
,58953,,2149.43,2041.96,2348.25
,58954,,2324.77,2208.53,2539.81
,58956,,1459.52,1386.54,1594.52
,58957,,1704.19,1618.98,1861.83
,58958,,1788.15,1698.74,1953.55
,58960,,1066.24,1012.93,1164.87
,58970,,257.32,244.45,281.12
#,58970,,210.60,200.07,230.08
,58974,,143.61,136.43,156.89
,58976,,277.17,263.31,302.81
#,58976,,228.76,217.32,249.92
,59000,,127.41,121.04,139.20
#,59000,,89.76,85.27,98.06
,59001,,200.33,190.31,218.86
,59012,,226.63,215.30,247.60
,59015,,174.76,166.02,190.92
#,59015,,147.20,139.84,160.82
,59020,,75.47,71.70,82.46
,59020,TC,34.18,32.47,37.34
,59020,26,41.29,39.23,45.11
,59025,,52.21,49.60,57.04
,59025,TC,20.40,19.38,22.29
,59025,26,31.81,30.22,34.75
,59030,,126.71,120.37,138.43
,59050,,56.64,53.81,61.88
,59051,,47.28,44.92,51.66
,59070,,439.65,417.67,480.32
#,59070,,346.87,329.53,378.96
,59072,,586.64,557.31,640.91
,59074,,423.85,402.66,463.06
#,59074,,346.87,329.53,378.96
,59076,,586.64,557.31,640.91
,59100,,962.03,913.93,1051.02
,59120,,917.91,872.01,1002.81
,59121,,917.93,872.03,1002.83
,59130,,1068.79,1015.35,1167.65
,59136,,1012.84,962.20,1106.53
,59140,,465.95,442.65,509.05
,59150,,890.51,845.98,972.88
,59151,,871.14,827.58,951.72
,59160,,298.60,283.67,326.22
#,59160,,211.20,200.64,230.74
,59200,,112.50,106.88,122.91
#,59200,,49.64,47.16,54.23
,59300,,251.50,238.93,274.77
#,59300,,165.44,157.17,180.75
,59320,,169.62,161.14,185.31
,59325,,270.60,257.07,295.63
,59350,,315.93,300.13,345.15
,59400,,2651.86,2519.27,2897.16
,59409,,897.33,852.46,980.33
,59410,,1185.45,1126.18,1295.11
,59412,,115.38,109.61,126.05
,59414,,102.33,97.21,111.79
,59425,,617.13,586.27,674.21
#,59425,,486.70,462.37,531.73
,59426,,1130.18,1073.67,1234.72
#,59426,,894.20,849.49,976.91
,59430,,289.58,275.10,316.37
#,59430,,202.18,192.07,220.88
,59510,,2959.46,2811.49,3233.21
,59514,,1023.67,972.49,1118.36
,59515,,1468.95,1395.50,1604.83
,59525,,543.96,516.76,594.27
,59610,,2803.72,2663.53,3063.06
,59612,,1026.54,975.21,1121.49
,59614,,1296.32,1231.50,1416.23
,59618,,2993.91,2844.21,3270.84
,59620,,1062.31,1009.19,1160.57
,59622,,1525.72,1449.43,1666.84
,59812,,400.18,380.17,437.20
#,59812,,342.69,325.56,374.39
,59820,,481.83,457.74,526.40
#,59820,,426.70,405.37,466.18
,59821,,477.58,453.70,521.76
#,59821,,420.09,399.09,458.95
,59830,,518.68,492.75,566.66
,59840,,275.63,261.85,301.13
#,59840,,247.06,234.71,269.92
,59841,,473.55,449.87,517.35
#,59841,,417.41,396.54,456.02
,59850,,438.81,416.87,479.40
,59851,,477.03,453.18,521.16
,59852,,657.79,624.90,718.64
,59855,,477.72,453.83,521.90
,59856,,560.22,532.21,612.04
,59857,,654.58,621.85,715.13
,59866,,267.43,254.06,292.17
,59870,,593.30,563.64,648.19
,59871,,149.30,141.84,163.12
,60000,,194.15,184.44,212.11
#,60000,,165.24,156.98,180.53
,60100,,115.49,109.72,126.18
#,60100,,81.20,77.14,88.71
,60200,,724.24,688.03,791.23
,60210,,767.51,729.13,838.50
,60212,,1132.37,1075.75,1237.11
,60220,,763.71,725.52,834.35
,60225,,1009.01,958.56,1102.34
,60240,,995.64,945.86,1087.74
,60252,,1432.93,1361.28,1565.47
,60254,,1805.08,1714.83,1972.05
,60260,,1177.61,1118.73,1286.54
,60270,,1484.82,1410.58,1622.17
,60271,,1143.13,1085.97,1248.87
,60280,,482.34,458.22,526.95
,60281,,634.41,602.69,693.09
,60300,,110.80,105.26,121.05
#,60300,,50.63,48.10,55.32
,60500,,1056.95,1004.10,1154.72
,60502,,1421.93,1350.83,1553.45
,60505,,1516.53,1440.70,1656.81
,60512,,263.48,250.31,287.86
,60520,,1149.85,1092.36,1256.21
,60521,,1227.58,1166.20,1341.13
,60522,,1488.73,1414.29,1626.43
,60540,,1169.34,1110.87,1277.50
,60545,,1363.15,1294.99,1489.24
,60600,,1496.60,1421.77,1635.04
,60605,,1805.55,1715.27,1972.56
,60650,,1294.32,1229.60,1414.04
,61000,,129.99,123.49,142.01
,61001,,122.20,116.09,133.50
,61020,,119.95,113.95,131.04
,61026,,116.88,111.04,127.70
,61050,,82.84,78.70,90.51
,61055,,126.60,120.27,138.31
,61070,,60.62,57.59,66.23
,61105,,527.37,501.00,576.15
,61107,,360.93,342.88,394.31
,61108,,1031.13,979.57,1126.51
,61120,,856.85,814.01,936.11
,61140,,1455.19,1382.43,1589.79
,61150,,1553.77,1476.08,1697.49
,61151,,1141.28,1084.22,1246.85
,61154,,1462.40,1389.28,1597.67
,61156,,1415.00,1344.25,1545.89
,61210,,425.01,403.76,464.32
,61215,,583.24,554.08,637.19
,61250,,996.53,946.70,1088.71
,61253,,1141.28,1084.22,1246.85
,61304,,1879.49,1785.52,2053.35
,61305,,2310.07,2194.57,2523.76
,61312,,2386.43,2267.11,2607.18
,61313,,2279.94,2165.94,2490.83
,61314,,2093.33,1988.66,2286.96
,61315,,2381.71,2262.62,2602.01
,61316,,101.32,96.25,110.69
,61320,,2178.04,2069.14,2379.51
,61321,,2448.05,2325.65,2674.50
,61322,,2740.99,2603.94,2994.53
,61323,,2757.76,2619.87,3012.85
,61330,,2064.12,1960.91,2255.05
,61333,,2325.17,2208.91,2540.25
,61340,,1657.36,1574.49,1810.66
,61343,,2527.14,2400.78,2760.90
,61345,,2353.17,2235.51,2570.84
,61450,,2212.78,2102.14,2417.46
,61458,,2322.37,2206.25,2537.19
,61460,,2427.07,2305.72,2651.58
,61500,,1454.12,1381.41,1588.62
,61501,,1262.00,1198.90,1378.74
,61510,,2528.41,2401.99,2762.29
,61512,,2942.56,2795.43,3214.74
,61514,,2207.62,2097.24,2411.83
,61516,,2152.67,2045.04,2351.80
,61517,,100.41,95.39,109.70
,61518,,3185.95,3026.65,3480.65
,61519,,3398.37,3228.45,3712.72
,61520,,4264.18,4050.97,4658.62
,61521,,3653.46,3470.79,3991.41
,61522,,2520.82,2394.78,2754.00
,61524,,2402.13,2282.02,2624.32
,61526,,3740.86,3553.82,4086.89
,61530,,3546.30,3368.99,3874.34
,61531,,1405.84,1335.55,1535.88
,61533,,1758.20,1670.29,1920.83
,61534,,1899.83,1804.84,2075.57
,61535,,1150.86,1093.32,1257.32
,61536,,2973.03,2824.38,3248.04
,61537,,2838.50,2696.58,3101.07
,61538,,3071.27,2917.71,3355.37
,61539,,2721.77,2585.68,2973.53
,61540,,2508.67,2383.24,2740.73
,61541,,2479.19,2355.23,2708.51
,61543,,2505.14,2379.88,2736.86
,61544,,2188.30,2078.89,2390.72
,61545,,3672.68,3489.05,4012.41
,61546,,2661.98,2528.88,2908.21
,61548,,1773.85,1685.16,1937.93
,61550,,1370.03,1301.53,1496.76
,61552,,1709.27,1623.81,1867.38
,61556,,1966.92,1868.57,2148.86
,61557,,1939.54,1842.56,2118.94
,61558,,2167.26,2058.90,2367.74
,61559,,2760.75,2622.71,3016.12
,61563,,2283.85,2169.66,2495.11
,61564,,2773.55,2634.87,3030.10
,61566,,2582.35,2453.23,2821.21
,61567,,2941.51,2794.43,3213.59
,61570,,2155.84,2048.05,2355.26
,61571,,2293.93,2179.23,2506.11
,61575,,2888.87,2744.43,3156.09
,61576,,4760.90,4522.86,5201.29
,61580,,2687.80,2553.41,2936.42
,61581,,2885.12,2740.86,3151.99
,61582,,3537.73,3360.84,3864.97
,61583,,3324.21,3158.00,3631.70
,61584,,3284.39,3120.17,3588.20
,61585,,3740.11,3553.10,4086.07
,61586,,2843.43,2701.26,3106.45
,61590,,3270.76,3107.22,3573.30
,61591,,3350.09,3182.59,3659.98
,61592,,3588.85,3409.41,3920.82
,61595,,2609.06,2478.61,2850.40
,61596,,2598.03,2468.13,2838.35
,61597,,3365.39,3197.12,3676.69
,61598,,3250.67,3088.14,3551.36
,61600,,2309.63,2194.15,2523.27
,61601,,2749.77,2612.28,3004.12
,61605,,2323.94,2207.74,2538.90
,61606,,3291.61,3127.03,3596.08
,61607,,2924.36,2778.14,3194.86
,61608,,3750.33,3562.81,4097.23
,61611,,540.89,513.85,590.93
,61613,,3766.33,3578.01,4114.71
,61615,,3205.36,3045.09,3501.85
,61616,,3777.63,3588.75,4127.06
,61618,,1452.44,1379.82,1586.79
,61619,,1588.75,1509.31,1735.71
,61623,,646.87,614.53,706.71
,61624,,1306.12,1240.81,1426.93
,61626,,986.54,937.21,1077.79
,61630,,1528.44,1452.02,1669.82
,61635,,1647.81,1565.42,1800.23
,61645,,936.71,889.87,1023.35
,61650,,642.51,610.38,701.94
,61651,,277.89,264.00,303.60
,61680,,2563.93,2435.73,2801.09
,61682,,4793.65,4553.97,5237.07
,61684,,3277.20,3113.34,3580.34
,61686,,5181.93,4922.83,5661.25
,61690,,2511.20,2385.64,2743.49
,61692,,4210.47,3999.95,4599.94
,61697,,4873.46,4629.79,5324.26
,61698,,5338.20,5071.29,5831.98
,61700,,3896.70,3701.87,4257.15
,61702,,4637.55,4405.67,5066.52
