NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
#,11401,,106.87,101.53,116.76
,11402,,169.63,161.15,185.32
#,11402,,117.01,111.16,127.83
,11403,,198.05,188.15,216.37
#,11403,,153.40,145.73,167.59
,11404,,225.60,214.32,246.47
#,11404,,170.11,161.60,185.84
,11406,,324.54,308.31,354.56
#,11406,,257.89,245.00,281.75
,11420,,124.60,118.37,136.13
#,11420,,83.46,79.29,91.18
,11421,,157.05,149.20,171.58
#,11421,,110.16,104.65,120.35
,11422,,177.80,168.91,194.25
#,11422,,138.25,131.34,151.04
,11423,,205.82,195.53,224.86
#,11423,,161.17,153.11,176.08
,11424,,240.23,228.22,262.45
#,11424,,186.97,177.62,204.26
,11426,,334.74,318.00,365.70
#,11426,,277.97,264.07,303.68
,11440,,139.60,132.62,152.51
#,11440,,107.39,102.02,117.32
,11441,,170.95,162.40,186.76
#,11441,,133.95,127.25,146.34
,11442,,191.72,182.13,209.45
#,11442,,148.98,141.53,162.76
,11443,,228.53,217.10,249.67
#,11443,,182.92,173.77,199.84
,11444,,286.45,272.13,312.95
#,11444,,232.87,221.23,254.41
,11446,,390.22,370.71,426.32
#,11446,,326.75,310.41,356.97
,11450,,429.21,407.75,468.91
#,11450,,274.84,261.10,300.27
,11451,,528.53,502.10,577.42
#,11451,,348.33,330.91,380.55
,11462,,420.09,399.09,458.95
#,11462,,262.54,249.41,286.82
,11463,,526.55,500.22,575.25
#,11463,,344.76,327.52,376.65
,11470,,454.68,431.95,496.74
#,11470,,299.68,284.70,327.41
,11471,,543.70,516.52,594.00
#,11471,,365.42,347.15,399.22
,11600,,194.36,184.64,212.34
#,11600,,123.56,117.38,134.99
,11601,,225.53,214.25,246.39
#,11601,,149.94,142.44,163.81
,11602,,241.59,229.51,263.94
#,11602,,162.49,154.37,177.53
,11603,,276.87,263.03,302.48
#,11603,,195.22,185.46,213.28
,11604,,310.13,294.62,338.81
#,11604,,216.36,205.54,236.37
,11606,,452.81,430.17,494.70
#,11606,,325.88,309.59,356.03
,11620,,195.24,185.48,213.30
#,11620,,124.76,118.52,136.30
,11621,,227.28,215.92,248.31
#,11621,,151.70,144.12,165.74
,11622,,250.03,237.53,273.16
#,11622,,170.61,162.08,186.39
,11623,,294.72,279.98,321.98
#,11623,,212.11,201.50,231.73
,11624,,336.83,319.99,367.99
#,11624,,242.11,230.00,264.50
,11626,,410.19,389.68,448.13
#,11626,,299.84,284.85,327.58
,11640,,200.12,190.11,218.63
#,11640,,128.04,121.64,139.89
,11641,,234.59,222.86,256.29
#,11641,,157.72,149.83,172.30
,11642,,266.00,252.70,290.61
#,11642,,184.03,174.83,201.05
,11643,,315.92,300.12,345.14
#,11643,,232.04,220.44,253.51
,11644,,390.14,370.63,426.22
#,11644,,287.44,273.07,314.03
,11646,,511.03,485.48,558.30
#,11646,,399.08,379.13,436.00
,11719,,14.04,13.34,15.34
#,11719,,7.35,6.98,8.03
,11720,,32.46,30.84,35.47
#,11720,,14.60,13.87,15.95
,11721,,44.30,42.09,48.40
#,11721,,23.89,22.70,26.11
,11730,,111.55,105.97,121.87
#,11730,,53.82,51.13,58.80
,11732,,32.18,30.57,35.16
#,11732,,16.87,16.03,18.43
,11740,,56.09,53.29,61.28
#,11740,,32.49,30.87,35.50
,11750,,157.04,149.19,171.57
#,11750,,101.86,96.77,111.29
,11755,,119.15,113.19,130.17
#,11755,,60.78,57.74,66.40
,11760,,181.53,172.45,198.32
#,11760,,110.41,104.89,120.62
,11762,,286.50,272.18,313.01
#,11762,,191.14,181.58,208.82
,11765,,160.59,152.56,175.44
#,11765,,92.98,88.33,101.58
,11770,,348.32,330.90,380.54
#,11770,,194.27,184.56,212.24
,11771,,638.89,606.95,697.99
#,11771,,473.68,450.00,517.50
,11772,,783.27,744.11,855.73
#,11772,,605.62,575.34,661.64
,11900,,56.33,53.51,61.54
#,11900,,29.54,28.06,32.27
,11901,,69.07,65.62,75.46
#,11901,,45.15,42.89,49.32
,11920,,199.43,189.46,217.88
#,11920,,117.47,111.60,128.34
,11921,,219.85,208.86,240.19
#,11921,,135.01,128.26,147.50
,11922,,60.85,57.81,66.48
#,11922,,29.27,27.81,31.98
,11950,,83.67,79.49,91.41
#,11950,,54.32,51.60,59.34
,11951,,110.88,105.34,121.14
#,11951,,75.15,71.39,82.10
,11952,,148.13,140.72,161.83
#,11952,,105.39,100.12,115.14
,11954,,164.39,156.17,179.60
#,11954,,116.55,110.72,127.33
,11960,,1039.99,987.99,1136.19
,11970,,582.81,553.67,636.72
,11971,,572.13,543.52,625.05
,11976,,145.94,138.64,159.44
#,11976,,95.87,91.08,104.74
,11980,,94.42,89.70,103.16
#,11980,,56.78,53.94,62.03
,11981,,102.24,97.13,111.70
#,11981,,65.88,62.59,71.98
,11982,,111.75,106.16,122.08
#,11982,,75.71,71.92,82.71
,11983,,144.65,137.42,158.03
#,11983,,107.97,102.57,117.96
,12001,,94.19,89.48,102.90
